2009-12-11 16:57:42 UTC+0000|[LIVE RESPONSE]| (System time)|
2009-12-07 18:15:00 UTC+0000|[Handle (Key)]| MACHINE\SOFTWARE\CLASSES| svchost.exe PID: 1052/PPID: 708/POffset: 0x01dacda0
2009-12-07 18:15:00 UTC+0000|[Handle (Key)]| MACHINE\SOFTWARE\CLASSES| svchost.exe PID: 1052/PPID: 708/POffset: 0x01dacda0
2009-12-07 18:15:00 UTC+0000|[Handle (Key)]| MACHINE\SOFTWARE\CLASSES| svchost.exe PID: 1052/PPID: 708/POffset: 0x01dacda0
2009-12-07 18:15:00 UTC+0000|[Handle (Key)]| MACHINE\SOFTWARE\CLASSES| svchost.exe PID: 1052/PPID: 708/POffset: 0x01dacda0
2009-12-07 18:15:00 UTC+0000|[Handle (Key)]| MACHINE\SOFTWARE\CLASSES| svchost.exe PID: 1052/PPID: 708/POffset: 0x01dacda0
2009-12-07 18:15:00 UTC+0000|[Handle (Key)]| MACHINE\SOFTWARE\CLASSES| svchost.exe PID: 1052/PPID: 708/POffset: 0x01dacda0
2009-12-07 18:15:00 UTC+0000|[Handle (Key)]| MACHINE\SOFTWARE\CLASSES| svchost.exe PID: 1052/PPID: 708/POffset: 0x01dacda0
2009-12-07 18:15:00 UTC+0000|[Handle (Key)]| MACHINE\SOFTWARE\CLASSES| svchost.exe PID: 1052/PPID: 708/POffset: 0x01dacda0
2009-12-07 18:15:00 UTC+0000|[Handle (Key)]| MACHINE\SOFTWARE\CLASSES| svchost.exe PID: 1052/PPID: 708/POffset: 0x01dacda0
2009-12-07 18:15:00 UTC+0000|[Handle (Key)]| MACHINE\SOFTWARE\CLASSES| svchost.exe PID: 1052/PPID: 708/POffset: 0x01dacda0
2009-12-07 18:15:00 UTC+0000|[Handle (Key)]| MACHINE\SOFTWARE\CLASSES| svchost.exe PID: 1052/PPID: 708/POffset: 0x01dacda0
2009-12-07 18:15:00 UTC+0000|[Handle (Key)]| MACHINE\SOFTWARE\CLASSES| svchost.exe PID: 1052/PPID: 708/POffset: 0x01dacda0
2009-12-11 01:28:25 UTC+0000|[Handle (Key)]| MACHINE\SYSTEM\CONTROLSET001\SERVICES\LANMANSERVER\PARAMETERS| svchost.exe PID: 1052/PPID: 708/POffset: 0x01dacda0
2009-12-07 18:15:00 UTC+0000|[Handle (Key)]| MACHINE\SOFTWARE\CLASSES| svchost.exe PID: 1052/PPID: 708/POffset: 0x01dacda0
2009-12-07 18:15:00 UTC+0000|[Handle (Key)]| MACHINE\SOFTWARE\CLASSES| svchost.exe PID: 1052/PPID: 708/POffset: 0x01dacda0
2009-12-11 16:48:58 UTC+0000|[Handle (Key)]| MACHINE\SYSTEM\CONTROLSET001\SERVICES\SHAREDACCESS\EPOCH| svchost.exe PID: 1052/PPID: 708/POffset: 0x01dacda0
2009-12-07 18:15:00 UTC+0000|[Handle (Key)]| MACHINE\SOFTWARE\CLASSES| svchost.exe PID: 1052/PPID: 708/POffset: 0x01dacda0
2009-12-07 18:15:00 UTC+0000|[Handle (Key)]| MACHINE\SOFTWARE\CLASSES| svchost.exe PID: 1052/PPID: 708/POffset: 0x01dacda0
2009-12-07 18:15:00 UTC+0000|[Handle (Key)]| MACHINE\SOFTWARE\CLASSES| svchost.exe PID: 1052/PPID: 708/POffset: 0x01dacda0
2009-12-07 18:15:00 UTC+0000|[Handle (Key)]| MACHINE\SOFTWARE\CLASSES| svchost.exe PID: 1052/PPID: 708/POffset: 0x01dacda0
2009-12-07 18:15:00 UTC+0000|[Handle (Key)]| MACHINE\SOFTWARE\CLASSES| svchost.exe PID: 1052/PPID: 708/POffset: 0x01dacda0
2009-12-07 18:15:00 UTC+0000|[Handle (Key)]| MACHINE\SOFTWARE\CLASSES| svchost.exe PID: 1052/PPID: 708/POffset: 0x01dacda0
2009-12-07 18:15:00 UTC+0000|[Handle (Key)]| MACHINE\SOFTWARE\CLASSES| svchost.exe PID: 1052/PPID: 708/POffset: 0x01dacda0
2009-12-07 18:15:00 UTC+0000|[Handle (Key)]| MACHINE\SOFTWARE\CLASSES| svchost.exe PID: 1052/PPID: 708/POffset: 0x01dacda0
2009-12-07 18:15:00 UTC+0000|[Handle (Key)]| MACHINE\SOFTWARE\CLASSES| svchost.exe PID: 1052/PPID: 708/POffset: 0x01dacda0
2009-11-08 15:37:47 UTC+0000|[Handle (Key)]| MACHINE\SYSTEM\CONTROLSET001\CONTROL\NETWORK\CONNECTIONS| svchost.exe PID: 1052/PPID: 708/POffset: 0x01dacda0
2009-12-07 18:15:00 UTC+0000|[Handle (Key)]| MACHINE\SOFTWARE\CLASSES| svchost.exe PID: 1052/PPID: 708/POffset: 0x01dacda0
2009-12-07 18:15:00 UTC+0000|[Handle (Key)]| MACHINE\SOFTWARE\CLASSES| svchost.exe PID: 1052/PPID: 708/POffset: 0x01dacda0
2009-12-07 18:15:00 UTC+0000|[Handle (Key)]| MACHINE\SOFTWARE\CLASSES| svchost.exe PID: 1052/PPID: 708/POffset: 0x01dacda0
2009-11-09 00:27:20 UTC+0000|[Handle (Key)]| USER\.DEFAULT\SOFTWARE\MICROSOFT\WINDOWS NT\CURRENTVERSION\NETWORK\LOCATION AWARENESS| svchost.exe PID: 1052/PPID: 708/POffset: 0x01dacda0
2009-12-07 18:15:00 UTC+0000|[Handle (Key)]| MACHINE\SOFTWARE\CLASSES| svchost.exe PID: 1052/PPID: 708/POffset: 0x01dacda0
2009-11-09 00:37:00 UTC+0000|[Handle (Key)]| MACHINE\SYSTEM\CONTROLSET001\CONTROL\NETWORKPROVIDER\HWORDER| svchost.exe PID: 1052/PPID: 708/POffset: 0x01dacda0
2009-12-07 18:15:00 UTC+0000|[Handle (Key)]| MACHINE\SOFTWARE\CLASSES| svchost.exe PID: 1052/PPID: 708/POffset: 0x01dacda0
2009-12-07 18:15:00 UTC+0000|[Handle (Key)]| MACHINE\SOFTWARE\CLASSES| svchost.exe PID: 1052/PPID: 708/POffset: 0x01dacda0
2009-12-11 16:48:58 UTC+0000|[Handle (Key)]| MACHINE\SYSTEM\CONTROLSET001\SERVICES\SHAREDACCESS\EPOCH| svchost.exe PID: 1052/PPID: 708/POffset: 0x01dacda0
2009-12-07 18:15:00 UTC+0000|[Handle (Key)]| MACHINE\SOFTWARE\CLASSES| svchost.exe PID: 1052/PPID: 708/POffset: 0x01dacda0
2009-12-07 18:15:00 UTC+0000|[Handle (Key)]| MACHINE\SOFTWARE\CLASSES| svchost.exe PID: 1052/PPID: 708/POffset: 0x01dacda0
2009-12-11 11:00:10 UTC+0000|[Handle (Key)]| MACHINE\SOFTWARE\MICROSOFT\WINDOWS\CURRENTVERSION\WINDOWSUPDATE\AUTO UPDATE| svchost.exe PID: 1052/PPID: 708/POffset: 0x01dacda0
2009-12-07 18:15:00 UTC+0000|[Handle (Key)]| MACHINE\SOFTWARE\CLASSES| svchost.exe PID: 1052/PPID: 708/POffset: 0x01dacda0
2009-12-07 18:15:00 UTC+0000|[Handle (Key)]| MACHINE\SOFTWARE\CLASSES| svchost.exe PID: 1052/PPID: 708/POffset: 0x01dacda0
2009-12-07 18:15:00 UTC+0000|[Handle (Key)]| MACHINE\SOFTWARE\CLASSES| svchost.exe PID: 1052/PPID: 708/POffset: 0x01dacda0
2009-12-07 18:15:00 UTC+0000|[Handle (Key)]| MACHINE\SOFTWARE\CLASSES| svchost.exe PID: 1052/PPID: 708/POffset: 0x01dacda0
2009-12-07 18:15:00 UTC+0000|[Handle (Key)]| MACHINE\SOFTWARE\CLASSES| svchost.exe PID: 1052/PPID: 708/POffset: 0x01dacda0
2009-12-07 18:15:00 UTC+0000|[Handle (Key)]| MACHINE\SOFTWARE\CLASSES| svchost.exe PID: 1052/PPID: 708/POffset: 0x01dacda0
2009-12-07 18:15:00 UTC+0000|[Handle (Key)]| MACHINE\SOFTWARE\CLASSES| svchost.exe PID: 1052/PPID: 708/POffset: 0x01dacda0
2009-12-07 18:15:00 UTC+0000|[Handle (Key)]| MACHINE\SOFTWARE\CLASSES| svchost.exe PID: 1052/PPID: 708/POffset: 0x01dacda0
2009-12-11 01:28:29 UTC+0000|[Handle (Key)]| MACHINE\SOFTWARE\MICROSOFT\SECURITY CENTER| svchost.exe PID: 1052/PPID: 708/POffset: 0x01dacda0
2009-12-07 18:15:00 UTC+0000|[Handle (Key)]| MACHINE\SOFTWARE\CLASSES| svchost.exe PID: 1052/PPID: 708/POffset: 0x01dacda0
2009-12-07 18:15:00 UTC+0000|[Handle (Key)]| MACHINE\SOFTWARE\CLASSES| svchost.exe PID: 1052/PPID: 708/POffset: 0x01dacda0
2009-12-07 18:15:00 UTC+0000|[Handle (Key)]| MACHINE\SOFTWARE\CLASSES| svchost.exe PID: 1052/PPID: 708/POffset: 0x01dacda0
2009-11-09 00:44:29 UTC+0000|[Handle (Key)]| MACHINE\SOFTWARE\MICROSOFT\TRACING\RASIPHLP| svchost.exe PID: 1052/PPID: 708/POffset: 0x01dacda0
2009-12-07 18:15:00 UTC+0000|[Handle (Key)]| MACHINE\SOFTWARE\CLASSES| svchost.exe PID: 1052/PPID: 708/POffset: 0x01dacda0
2009-11-09 00:27:19 UTC+0000|[Handle (Key)]| MACHINE\SOFTWARE\MICROSOFT\TRACING\IPNATHLP| svchost.exe PID: 1052/PPID: 708/POffset: 0x01dacda0
2009-12-07 18:15:00 UTC+0000|[Handle (Key)]| MACHINE\SOFTWARE\CLASSES| svchost.exe PID: 1052/PPID: 708/POffset: 0x01dacda0
2009-11-08 15:37:47 UTC+0000|[Handle (Key)]| MACHINE\SYSTEM\CONTROLSET001\CONTROL\LSA\AUDIT| svchost.exe PID: 1052/PPID: 708/POffset: 0x01dacda0
2009-12-11 16:48:58 UTC+0000|[Handle (Key)]| MACHINE\SYSTEM\CONTROLSET001\SERVICES\SHAREDACCESS\EPOCH| svchost.exe PID: 1052/PPID: 708/POffset: 0x01dacda0
2009-11-08 15:37:47 UTC+0000|[Handle (Key)]| MACHINE\SYSTEM\CONTROLSET001\SERVICES\SHAREDACCESS\PARAMETERS\FIREWALLPOLICY| svchost.exe PID: 1052/PPID: 708/POffset: 0x01dacda0
2009-11-09 00:18:29 UTC+0000|[Handle (Key)]| MACHINE\SYSTEM\CONTROLSET001\SERVICES\SHAREDACCESS\PARAMETERS| svchost.exe PID: 1052/PPID: 708/POffset: 0x01dacda0
2009-12-07 18:15:00 UTC+0000|[Handle (Key)]| MACHINE\SOFTWARE\CLASSES| svchost.exe PID: 1052/PPID: 708/POffset: 0x01dacda0
2009-11-09 00:27:20 UTC+0000|[Handle (Key)]| USER\.DEFAULT\SOFTWARE\MICROSOFT\WINDOWS NT\CURRENTVERSION\NETWORK\LOCATION AWARENESS| svchost.exe PID: 1052/PPID: 708/POffset: 0x01dacda0
2009-12-07 18:15:00 UTC+0000|[Handle (Key)]| MACHINE\SOFTWARE\CLASSES| svchost.exe PID: 1052/PPID: 708/POffset: 0x01dacda0
2009-11-09 00:27:20 UTC+0000|[Handle (Key)]| MACHINE\SOFTWARE\MICROSOFT\WINDOWS NT\CURRENTVERSION\NETWORK\LOCATION AWARENESS| svchost.exe PID: 1052/PPID: 708/POffset: 0x01dacda0
2009-12-07 18:15:00 UTC+0000|[Handle (Key)]| MACHINE\SOFTWARE\CLASSES| svchost.exe PID: 1052/PPID: 708/POffset: 0x01dacda0
2009-12-07 18:15:00 UTC+0000|[Handle (Key)]| MACHINE\SOFTWARE\CLASSES| svchost.exe PID: 1052/PPID: 708/POffset: 0x01dacda0
2009-12-07 18:15:00 UTC+0000|[Handle (Key)]| MACHINE\SOFTWARE\CLASSES| svchost.exe PID: 1052/PPID: 708/POffset: 0x01dacda0
2009-11-09 00:39:09 UTC+0000|[Handle (Key)]| MACHINE\SOFTWARE\MICROSOFT\SECURITY CENTER\MONITORING| svchost.exe PID: 1052/PPID: 708/POffset: 0x01dacda0
2009-12-07 18:15:00 UTC+0000|[Handle (Key)]| MACHINE\SOFTWARE\CLASSES| svchost.exe PID: 1052/PPID: 708/POffset: 0x01dacda0
2009-12-07 18:15:00 UTC+0000|[Handle (Key)]| MACHINE\SOFTWARE\CLASSES| svchost.exe PID: 1052/PPID: 708/POffset: 0x01dacda0
2009-12-07 18:15:00 UTC+0000|[Handle (Key)]| MACHINE\SOFTWARE\CLASSES| svchost.exe PID: 1052/PPID: 708/POffset: 0x01dacda0
2009-11-08 15:37:47 UTC+0000|[Handle (Key)]| MACHINE\SYSTEM\CONTROLSET001\CONTROL\NLS\LOCALE| svchost.exe PID: 1052/PPID: 708/POffset: 0x01dacda0
2009-11-08 15:37:47 UTC+0000|[Handle (Key)]| MACHINE\SYSTEM\CONTROLSET001\CONTROL\NLS\LOCALE\ALTERNATE SORTS| svchost.exe PID: 1052/PPID: 708/POffset: 0x01dacda0
2009-11-08 15:37:47 UTC+0000|[Handle (Key)]| MACHINE\SYSTEM\CONTROLSET001\CONTROL\NLS\LANGUAGE GROUPS| svchost.exe PID: 1052/PPID: 708/POffset: 0x01dacda0
2009-11-09 00:44:27 UTC+0000|[Handle (Key)]| MACHINE\SOFTWARE\MICROSOFT\TRACING\DOT3API| svchost.exe PID: 1052/PPID: 708/POffset: 0x01dacda0
2009-11-09 00:27:20 UTC+0000|[Handle (Key)]| MACHINE\SOFTWARE\MICROSOFT\TRACING\NETMAN| svchost.exe PID: 1052/PPID: 708/POffset: 0x01dacda0
2009-11-08 15:37:46 UTC+0000|[Handle (Key)]| MACHINE\SOFTWARE\MICROSOFT\TRACING\TAPISRV| svchost.exe PID: 1052/PPID: 708/POffset: 0x01dacda0
2009-11-08 15:37:46 UTC+0000|[Handle (Key)]| USER\.DEFAULT\SOFTWARE\MICROSOFT\WINDOWS\SHELLNOROAM| svchost.exe PID: 1052/PPID: 708/POffset: 0x01dacda0
2009-11-09 00:30:21 UTC+0000|[Handle (Key)]| USER\.DEFAULT\SOFTWARE\MICROSOFT\WINDOWS\SHELLNOROAM\MUICACHE| svchost.exe PID: 1052/PPID: 708/POffset: 0x01dacda0
2009-12-11 16:48:58 UTC+0000|[Handle (Key)]| MACHINE\SYSTEM\CONTROLSET001\SERVICES\SHAREDACCESS\EPOCH| svchost.exe PID: 1052/PPID: 708/POffset: 0x01dacda0
2009-11-09 00:44:27 UTC+0000|[Handle (Key)]| MACHINE\SOFTWARE\MICROSOFT\TRACING\RASTAPI| svchost.exe PID: 1052/PPID: 708/POffset: 0x01dacda0
2009-11-08 16:15:12 UTC+0000|[Handle (Key)]| MACHINE\SOFTWARE\MICROSOFT\TRACING\TAPI32| svchost.exe PID: 1052/PPID: 708/POffset: 0x01dacda0
2009-11-08 16:15:13 UTC+0000|[Handle (Key)]| MACHINE\SOFTWARE\MICROSOFT\TRACING\KMDDSP| svchost.exe PID: 1052/PPID: 708/POffset: 0x01dacda0
2009-11-08 16:15:13 UTC+0000|[Handle (Key)]| MACHINE\SOFTWARE\MICROSOFT\TRACING\NDPTSP| svchost.exe PID: 1052/PPID: 708/POffset: 0x01dacda0
2009-11-08 16:15:13 UTC+0000|[Handle (Key)]| MACHINE\SOFTWARE\MICROSOFT\TRACING\CONFTSP| svchost.exe PID: 1052/PPID: 708/POffset: 0x01dacda0
2009-11-08 15:37:46 UTC+0000|[Handle (Key)]| MACHINE\SOFTWARE\MICROSOFT\WINDOWS\CURRENTVERSION\H323TSP| svchost.exe PID: 1052/PPID: 708/POffset: 0x01dacda0
2009-12-07 18:15:00 UTC+0000|[Handle (Key)]| MACHINE\SOFTWARE\CLASSES| svchost.exe PID: 1052/PPID: 708/POffset: 0x01dacda0
2009-12-07 18:15:00 UTC+0000|[Handle (Key)]| MACHINE\SOFTWARE\CLASSES| svchost.exe PID: 1052/PPID: 708/POffset: 0x01dacda0
2009-12-07 18:15:00 UTC+0000|[Handle (Key)]| MACHINE\SOFTWARE\CLASSES| svchost.exe PID: 1052/PPID: 708/POffset: 0x01dacda0
2009-11-09 00:44:27 UTC+0000|[Handle (Key)]| MACHINE\SYSTEM\CONTROLSET001\CONTROL\NETWORK\{4D36E972-E325-11CE-BFC1-08002BE10318}\{58094C24-B1BD-4961-8C68-7C13F7A6213C}\CONNECTION| svchost.exe PID: 1052/PPID: 708/POffset: 0x01dacda0
2009-11-09 00:44:29 UTC+0000|[Handle (Key)]| MACHINE\SOFTWARE\MICROSOFT\TRACING\RASQEC| svchost.exe PID: 1052/PPID: 708/POffset: 0x01dacda0
2009-11-09 00:44:29 UTC+0000|[Handle (Key)]| MACHINE\SOFTWARE\MICROSOFT\TRACING\RASMAN| svchost.exe PID: 1052/PPID: 708/POffset: 0x01dacda0
2009-11-09 00:44:29 UTC+0000|[Handle (Key)]| MACHINE\SOFTWARE\MICROSOFT\TRACING\PPP| svchost.exe PID: 1052/PPID: 708/POffset: 0x01dacda0
2009-11-09 00:44:29 UTC+0000|[Handle (Key)]| MACHINE\SOFTWARE\MICROSOFT\TRACING\BAP| svchost.exe PID: 1052/PPID: 708/POffset: 0x01dacda0
2009-11-09 00:17:31 UTC+0000|[Handle (Key)]| MACHINE\SYSTEM\CONTROLSET001\SERVICES\RASMAN\PPP| svchost.exe PID: 1052/PPID: 708/POffset: 0x01dacda0
2009-11-09 00:44:29 UTC+0000|[Handle (Key)]| MACHINE\SOFTWARE\MICROSOFT\TRACING\RASSPAP| svchost.exe PID: 1052/PPID: 708/POffset: 0x01dacda0
2009-11-09 00:44:29 UTC+0000|[Handle (Key)]| MACHINE\SOFTWARE\MICROSOFT\TRACING\RASPAP| svchost.exe PID: 1052/PPID: 708/POffset: 0x01dacda0
2009-11-09 00:44:29 UTC+0000|[Handle (Key)]| MACHINE\SOFTWARE\MICROSOFT\TRACING\RASEAP| svchost.exe PID: 1052/PPID: 708/POffset: 0x01dacda0
2009-11-09 00:44:29 UTC+0000|[Handle (Key)]| MACHINE\SOFTWARE\MICROSOFT\TRACING\RASCCP| svchost.exe PID: 1052/PPID: 708/POffset: 0x01dacda0
2009-11-09 00:44:29 UTC+0000|[Handle (Key)]| MACHINE\SOFTWARE\MICROSOFT\TRACING\RASBACP| svchost.exe PID: 1052/PPID: 708/POffset: 0x01dacda0
2009-11-09 00:38:55 UTC+0000|[Handle (Key)]| MACHINE\SOFTWARE\MICROSOFT\WINDOWS\CURRENTVERSION\WINDOWSUPDATE\REPORTING\EVENTCACHE| svchost.exe PID: 1052/PPID: 708/POffset: 0x01dacda0
2009-12-07 18:15:00 UTC+0000|[Handle (Key)]| MACHINE\SOFTWARE\CLASSES| svchost.exe PID: 1052/PPID: 708/POffset: 0x01dacda0
2009-11-08 15:37:47 UTC+0000|[Handle (Key)]| MACHINE\SYSTEM\CONTROLSET001\SERVICES\RASMAN\PARAMETERS\QUARANTINE| svchost.exe PID: 1052/PPID: 708/POffset: 0x01dacda0
2009-11-09 00:44:29 UTC+0000|[Handle (Key)]| MACHINE\SOFTWARE\MICROSOFT\TRACING\RASIPCP| svchost.exe PID: 1052/PPID: 708/POffset: 0x01dacda0
2009-12-07 18:15:00 UTC+0000|[Handle (Key)]| MACHINE\SOFTWARE\CLASSES| svchost.exe PID: 1052/PPID: 708/POffset: 0x01dacda0
2009-12-07 18:15:00 UTC+0000|[Handle (Key)]| MACHINE\SOFTWARE\CLASSES| svchost.exe PID: 1052/PPID: 708/POffset: 0x01dacda0
2009-11-09 00:40:32 UTC+0000|[Handle (Key)]| MACHINE\SOFTWARE\MICROSOFT\TRACING\RASDLG| svchost.exe PID: 1052/PPID: 708/POffset: 0x01dacda0
2008-04-13 19:15:12 UTC+0000|[PE HEADER (exe)]| svchost.exe| Process: svchost.exe/PID: 1052/PPID: 708/Process POffset: 0x01dacda0/DLL Base: 0x01000000
2008-04-13 19:15:12 UTC+0000|[PE DEBUG]| svchost.exe| Process: svchost.exe/PID: 1052/PPID: 708/Process POffset: 0x01dacda0/DLL Base: 0x01000000
2009-02-09 12:10:48 UTC+0000|[PE HEADER (dll)]| ntdll.dll| Process: svchost.exe/PID: 1052/PPID: 708/Process POffset: 0x01dacda0/DLL Base: 0x7c900000
-|[PE DEBUG]| ntdll.dll| Process: svchost.exe/PID: 1052/PPID: 708/Process POffset: 0x01dacda0/DLL Base: 0x7c900000
2008-04-14 00:09:13 UTC+0000|[PE HEADER (dll)]| certcli.dll| Process: svchost.exe/PID: 1052/PPID: 708/Process POffset: 0x01dacda0/DLL Base: 0x77b90000
2008-04-13 19:17:42 UTC+0000|[PE DEBUG]| certcli.dll| Process: svchost.exe/PID: 1052/PPID: 708/Process POffset: 0x01dacda0/DLL Base: 0x77b90000
2008-04-14 00:11:33 UTC+0000|[PE HEADER (dll)]| WMI.dll| Process: svchost.exe/PID: 1052/PPID: 708/Process POffset: 0x01dacda0/DLL Base: 0x76d30000
2008-04-13 19:17:05 UTC+0000|[PE DEBUG]| WMI.dll| Process: svchost.exe/PID: 1052/PPID: 708/Process POffset: 0x01dacda0/DLL Base: 0x76d30000
2008-04-14 00:11:02 UTC+0000|[PE HEADER (dll)]| SHLWAPI.dll| Process: svchost.exe/PID: 1052/PPID: 708/Process POffset: 0x01dacda0/DLL Base: 0x77f60000
-|[PE DEBUG]| SHLWAPI.dll| Process: svchost.exe/PID: 1052/PPID: 708/Process POffset: 0x01dacda0/DLL Base: 0x77f60000
2009-10-29 07:45:35 UTC+0000|[PE HEADER (dll)]| iertutil.dll| Process: svchost.exe/PID: 1052/PPID: 708/Process POffset: 0x01dacda0/DLL Base: 0x3dfd0000
2009-10-27 06:10:39 UTC+0000|[PE DEBUG]| iertutil.dll| Process: svchost.exe/PID: 1052/PPID: 708/Process POffset: 0x01dacda0/DLL Base: 0x3dfd0000
2009-06-25 08:25:26 UTC+0000|[PE HEADER (dll)]| Secur32.dll| Process: svchost.exe/PID: 1052/PPID: 708/Process POffset: 0x01dacda0/DLL Base: 0x77fe0000
2009-06-24 12:10:24 UTC+0000|[PE DEBUG]| Secur32.dll| Process: svchost.exe/PID: 1052/PPID: 708/Process POffset: 0x01dacda0/DLL Base: 0x77fe0000
2008-04-14 00:10:35 UTC+0000|[PE HEADER (dll)]| netcfgx.dll| Process: svchost.exe/PID: 1052/PPID: 708/Process POffset: 0x01dacda0/DLL Base: 0x755f0000
2008-04-13 18:51:52 UTC+0000|[PE DEBUG]| netcfgx.dll| Process: svchost.exe/PID: 1052/PPID: 708/Process POffset: 0x01dacda0/DLL Base: 0x755f0000
2008-04-14 00:11:09 UTC+0000|[PE HEADER (dll)]| VERSION.dll| Process: svchost.exe/PID: 1052/PPID: 708/Process POffset: 0x01dacda0/DLL Base: 0x77c00000
2008-04-13 19:23:31 UTC+0000|[PE DEBUG]| VERSION.dll| Process: svchost.exe/PID: 1052/PPID: 708/Process POffset: 0x01dacda0/DLL Base: 0x77c00000
2008-03-18 14:39:32 UTC+0000|[PE HEADER (dll)]| rsaenh.dll| Process: svchost.exe/PID: 1052/PPID: 708/Process POffset: 0x01dacda0/DLL Base: 0x68000000
2008-03-18 14:39:32 UTC+0000|[PE DEBUG]| rsaenh.dll| Process: svchost.exe/PID: 1052/PPID: 708/Process POffset: 0x01dacda0/DLL Base: 0x68000000
2008-04-14 00:08:52 UTC+0000|[PE HEADER (dll)]| comctl32.dll| Process: svchost.exe/PID: 1052/PPID: 708/Process POffset: 0x01dacda0/DLL Base: 0x773d0000
2008-04-13 18:33:53 UTC+0000|[PE DEBUG]| comctl32.dll| Process: svchost.exe/PID: 1052/PPID: 708/Process POffset: 0x01dacda0/DLL Base: 0x773d0000
2008-06-20 17:46:57 UTC+0000|[PE HEADER (dll)]| mswsock.dll| Process: svchost.exe/PID: 1052/PPID: 708/Process POffset: 0x01dacda0/DLL Base: 0x71a50000
2008-06-20 11:46:31 UTC+0000|[PE DEBUG]| mswsock.dll| Process: svchost.exe/PID: 1052/PPID: 708/Process POffset: 0x01dacda0/DLL Base: 0x71a50000
2008-04-14 00:12:32 UTC+0000|[PE HEADER (dll)]| WSOCK32.dll| Process: svchost.exe/PID: 1052/PPID: 708/Process POffset: 0x01dacda0/DLL Base: 0x71ad0000
2008-04-13 19:20:56 UTC+0000|[PE DEBUG]| WSOCK32.dll| Process: svchost.exe/PID: 1052/PPID: 708/Process POffset: 0x01dacda0/DLL Base: 0x71ad0000
2008-04-14 00:11:02 UTC+0000|[PE HEADER (dll)]| tapisrv.dll| Process: svchost.exe/PID: 1052/PPID: 708/Process POffset: 0x01dacda0/DLL Base: 0x733e0000
2008-04-13 19:19:17 UTC+0000|[PE DEBUG]| tapisrv.dll| Process: svchost.exe/PID: 1052/PPID: 708/Process POffset: 0x01dacda0/DLL Base: 0x733e0000
2008-04-14 00:11:09 UTC+0000|[PE HEADER (dll)]| uniplat.dll| Process: svchost.exe/PID: 1052/PPID: 708/Process POffset: 0x01dacda0/DLL Base: 0x72000000
2008-04-13 19:20:30 UTC+0000|[PE DEBUG]| uniplat.dll| Process: svchost.exe/PID: 1052/PPID: 708/Process POffset: 0x01dacda0/DLL Base: 0x72000000
2008-04-14 00:11:14 UTC+0000|[PE HEADER (dll)]| wbemcomn.dll| Process: svchost.exe/PID: 1052/PPID: 708/Process POffset: 0x01dacda0/DLL Base: 0x75290000
2008-04-13 19:17:00 UTC+0000|[PE DEBUG]| wbemcomn.dll| Process: svchost.exe/PID: 1052/PPID: 708/Process POffset: 0x01dacda0/DLL Base: 0x75290000
2008-04-14 00:11:01 UTC+0000|[PE HEADER (dll)]| TAPI32.dll| Process: svchost.exe/PID: 1052/PPID: 708/Process POffset: 0x01dacda0/DLL Base: 0x76eb0000
2008-04-13 19:20:52 UTC+0000|[PE DEBUG]| TAPI32.dll| Process: svchost.exe/PID: 1052/PPID: 708/Process POffset: 0x01dacda0/DLL Base: 0x76eb0000
2008-04-14 00:10:35 UTC+0000|[PE HEADER (dll)]| POWRPROF.dll| Process: svchost.exe/PID: 1052/PPID: 708/Process POffset: 0x01dacda0/DLL Base: 0x74ad0000
2008-04-13 19:15:51 UTC+0000|[PE DEBUG]| POWRPROF.dll| Process: svchost.exe/PID: 1052/PPID: 708/Process POffset: 0x01dacda0/DLL Base: 0x74ad0000
2008-04-14 00:10:38 UTC+0000|[PE HEADER (dll)]| netman.dll| Process: svchost.exe/PID: 1052/PPID: 708/Process POffset: 0x01dacda0/DLL Base: 0x77d00000
2008-04-13 19:21:11 UTC+0000|[PE DEBUG]| netman.dll| Process: svchost.exe/PID: 1052/PPID: 708/Process POffset: 0x01dacda0/DLL Base: 0x77d00000
2008-04-14 00:11:19 UTC+0000|[PE HEADER (dll)]| WINSPOOL.DRV| Process: svchost.exe/PID: 1052/PPID: 708/Process POffset: 0x01dacda0/DLL Base: 0x73000000
2008-04-13 19:20:42 UTC+0000|[PE DEBUG]| WINSPOOL.DRV| Process: svchost.exe/PID: 1052/PPID: 708/Process POffset: 0x01dacda0/DLL Base: 0x73000000
2008-04-14 00:10:09 UTC+0000|[PE HEADER (dll)]| esscli.dll| Process: svchost.exe/PID: 1052/PPID: 708/Process POffset: 0x01dacda0/DLL Base: 0x75310000
2008-04-13 18:32:55 UTC+0000|[PE DEBUG]| esscli.dll| Process: svchost.exe/PID: 1052/PPID: 708/Process POffset: 0x01dacda0/DLL Base: 0x75310000
2008-04-14 00:10:51 UTC+0000|[PE HEADER (dll)]| SETUPAPI.DLL| Process: svchost.exe/PID: 1052/PPID: 708/Process POffset: 0x01dacda0/DLL Base: 0x77920000
2008-04-13 19:14:50 UTC+0000|[PE DEBUG]| SETUPAPI.DLL| Process: svchost.exe/PID: 1052/PPID: 708/Process POffset: 0x01dacda0/DLL Base: 0x77920000
2008-04-14 00:10:44 UTC+0000|[PE HEADER (dll)]| rasmans.dll| Process: svchost.exe/PID: 1052/PPID: 708/Process POffset: 0x01dacda0/DLL Base: 0x7df30000
